place,name,dist_km,lat,lon,osm_type,osm_id
city,Alexandria,79.9,43.9702236,25.3288462,node,140154764
city,București,1.0,44.4361414,26.102684,node,96209423
city,Buzău,98.7,45.1490064,26.8306557,node,60710142
city,Câmpina,83.0,45.1256956,25.7348044,node,60014312
city,Giurgiu,60.0,43.8961275,25.9656448,node,119510228
city,Moreni,71.6,44.9830676,25.6453554,node,140171278
city,Oltenița,56.9,44.0905153,26.6406794,node,2029839403
city,Ploiești,57.6,44.9417468,26.0236504,node,60018211
city,Roșiorii de Vede,95.0,44.1083489,24.9952094,node,140157011
city,Târgoviște,75.2,44.9267709,25.462816,node,116851075
city,Urziceni,52.9,44.717002,26.6324066,node,130443201
city,Русе,65.4,43.8480413,25.9542057,node,174639032
city,Силистра,98.3,44.118308,27.2600031,node,31058188
city_block,Greenfield Community Center,12.4,44.5378382,26.0956867,way,1034204023
hamlet,Alexandru Ioan Cuza,33.0,44.4181476,26.5184714,node,2042613355
hamlet,Bataluri,83.8,44.5273874,27.1492893,node,460204298
hamlet,Chiroiu-Satu Nou,36.0,44.5942461,26.4914397,node,460204634
hamlet,Chiroiu-Ungureni,36.3,44.5899165,26.4989352,node,460204635
hamlet,Coceana,45.6,44.8173071,25.9245349,node,463180413
hamlet,Codreni,43.8,44.3908844,26.6517381,node,448348188
hamlet,Comasca,53.1,43.9505218,26.0487122,node,266933308
hamlet,Cotorca,58.9,44.7774047,26.6602603,node,280758363
hamlet,Crângurile,70.3,44.9961387,26.4879732,node,462587926
hamlet,Dimieni,18.2,44.5885407,26.135858,node,234791990
hamlet,Drăghicești,83.6,45.1668803,25.9165863,node,462600471
hamlet,Irimești,88.1,45.1531783,25.6579588,node,462257470
hamlet,Lunca,54.1,44.3417465,26.7730784,node,448786685
hamlet,Merdeala,92.2,45.2555618,26.1413605,node,463178717
hamlet,Preasna Veche,49.3,44.3605906,26.7161669,node,1635117498
hamlet,Redea,97.1,44.5998406,24.9017626,node,422880147
hamlet,Răsurile,54.0,44.5449701,26.763202,node,448350741
hamlet,Satu Nou,71.4,44.9200293,26.6808153,node,447933736
hamlet,Sătucu,38.6,44.3839743,26.5853282,node,448359575
hamlet,Tătulești,96.7,44.9059571,27.1231454,node,447934967
hamlet,Valea Oprii,87.8,45.1646548,25.7054614,node,462599784
hamlet,Viile,97.8,44.1640972,24.9301457,node,463189982
hamlet,Vlăduța,97.1,44.5996198,24.9020037,way,74728128
hamlet,Șanțu Florești,35.2,44.7339268,26.2083978,node,278669303
hamlet,Țonțești,80.7,45.1264597,25.8324158,node,463180684
