filename,url,score,doorway_risk,suggested_actions
animatopia-despre-noi-echipa-animatori.mdx,https://superparty.ro/petreceri/animatopia-despre-noi-echipa-animatori,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animator-aladin-petreceri-copii-bucuresti.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-aurora-frumoasa-adormita-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-aurora-frumoasa-adormita-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-buzz-lightyear-toy-story-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-buzz-lightyear-toy-story-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-dragon-verde-mascota-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-dragon-verde-mascota-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-peter-pan-niciodata-tara-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-peter-pan-niciodata-tara-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-princess-peach-mario-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-princess-peach-mario-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animator-rainbow-dash-my-little-pony-petreceri-copii.mdx,https://superparty.ro/petreceri/animator-rainbow-dash-my-little-pony-petreceri-copii,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animatori-petreceri-copii-alba-ca-zapada-ciorogarla.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-ciorogarla,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-alba-ca-zapada-gradistea.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
animatori-petreceri-copii-captain-america-gradistea.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-captain-america-gradistea,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-captain-america-dascalu.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
animatori-petreceri-copii-captain-america-mogosoaia.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-captain-america-mogosoaia,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-captain-america-dascalu.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
animatori-petreceri-copii-captain-america-petrachioaia.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-captain-america-petrachioaia,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-captain-america-dascalu.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 102 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 164 chars, ideal 150-160)."
animatori-petreceri-copii-chase-paw-patrol-copaceni.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-chase-paw-patrol-copaceni,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-chase-paw-patrol-dascalu.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
animatori-petreceri-copii-chase-paw-patrol-domnesti.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-chase-paw-patrol-domnesti,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-chase-paw-patrol-copaceni.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
animatori-petreceri-copii-cluj-napoca-animatopia.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-cluj-napoca-animatopia,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animatori-petreceri-copii-iasi-animatopia.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-iasi-animatopia,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatopia-despre-noi-echipa-animatori.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 162 chars, ideal 150-160)."
animatori-petreceri-copii-marshall-paw-patrol-copaceni.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-marshall-paw-patrol-copaceni,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-marshall-paw-patrol-ganeasa.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 102 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 164 chars, ideal 150-160)."
animatori-petreceri-copii-marshall-paw-patrol-ganeasa.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-marshall-paw-patrol-ganeasa,3.7,high,"Rescrie: Similaritate masiva (1.0) cu animatori-petreceri-copii-marshall-paw-patrol-copaceni.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 101 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 163 chars, ideal 150-160)."
animatori-petreceri-copii-mickey-mouse-petrachioaia.mdx,https://superparty.ro/petreceri/animatori-petreceri-copii-mickey-mouse-petrachioaia,3.7,high,"Rescrie: Similaritate masiva (0.993) cu animatori-petreceri-copii-mickey-mouse-balotesti.mdx. Posibil 301/unificare. | RISC DOORWAY. Adauga NOINDEX temporar pana la rescrierea diversificata. | Adauga Schema.org JSON-LD injectat din Frontmatter. | Ajusteaza title: are 99 chars sau lipsesc kw (animatori). | Ajusteaza meta desc (are 161 chars, ideal 150-160)."
