filename,slug,indexStatus,action_taken
animator-aladin-petreceri-copii-bucuresti.md,animator-aladin-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-aurora-frumoasa-adormita-petreceri-copii.md,animator-aurora-frumoasa-adormita-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-aurora-vs-elsa-care-e-mai-populara.md,animator-aurora-vs-elsa-care-e-mai-populara,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-belle-disney-petreceri-copii-bucuresti.md,animator-belle-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-bumblebee-transformers-petreceri-copii.md,animator-bumblebee-transformers-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-buzz-lightyear-toy-story-petreceri-copii.md,animator-buzz-lightyear-toy-story-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-catboy-pj-masks-petreceri-copii-bucuresti.md,animator-catboy-pj-masks-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-cenusareasa-disney-petreceri-copii-bucuresti.md,animator-cenusareasa-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-cenusareasa-petreceri-copii-bucuresti.md,animator-cenusareasa-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-donald-duck-disney-petreceri-copii-bucuresti.md,animator-donald-duck-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-donald-duck-petreceri-copii-bucuresti.md,animator-donald-duck-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-dragon-verde-mascota-petreceri-copii.md,animator-dragon-verde-mascota-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-elsa-anna-frozen-impreuna-petreceri-copii.md,animator-elsa-anna-frozen-impreuna-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-elsa-frozen-petreceri-copii-bucuresti.md,animator-elsa-frozen-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-gekko-pj-masks-petreceri-copii-bucuresti.md,animator-gekko-pj-masks-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-george-pig-petreceri-copii-bucuresti.md,animator-george-pig-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-hello-kitty-petreceri-copii-bucuresti.md,animator-hello-kitty-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-hulk-avengers-petreceri-copii-bucuresti.md,animator-hulk-avengers-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-hulk-marvel-petreceri-copii-bucuresti.md,animator-hulk-marvel-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-jasmine-aladdin-petreceri-copii-bucuresti.md,animator-jasmine-aladdin-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-ladybug-petreceri-copii-bucuresti.md,animator-ladybug-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-lightning-mcqueen-petreceri-copii-bucuresti.md,animator-lightning-mcqueen-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-luigi-bros-petreceri-copii-bucuresti.md,animator-luigi-bros-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-mario-bros-petreceri-copii-bucuresti.md,animator-mario-bros-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-masha-petreceri-copii-bucuresti.md,animator-masha-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-merida-brave-petreceri-copii-bucuresti.md,animator-merida-brave-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-minion-petreceri-copii-bucuresti.md,animator-minion-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-moana-disney-petreceri-copii-bucuresti.md,animator-moana-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-mulan-disney-petreceri-copii-bucuresti.md,animator-mulan-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-pantera-roz-petreceri-copii-bucuresti.md,animator-pantera-roz-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-peppa-pig-petreceri-copii-bucuresti.md,animator-peppa-pig-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-peter-pan-niciodata-tara-petreceri-copii.md,animator-peter-pan-niciodata-tara-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-peter-pan-petreceri-copii-bucuresti.md,animator-peter-pan-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-pikachu-pokemon-petreceri-copii-bucuresti.md,animator-pikachu-pokemon-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-pirat-petreceri-copii-bucuresti-vanatoare-comori.md,animator-pirat-petreceri-copii-bucuresti-vanatoare-comori,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-princess-peach-mario-petreceri-copii.md,animator-princess-peach-mario-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-rainbow-dash-my-little-pony-petreceri-copii.md,animator-rainbow-dash-my-little-pony-petreceri-copii,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-spongebob-squarepants-petreceri-copii-bucuresti.md,animator-spongebob-squarepants-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-stitch-disney-petreceri-copii-bucuresti.md,animator-stitch-disney-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-stitch-lilo-petreceri-copii-bucuresti.md,animator-stitch-lilo-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-superman-dc-petreceri-copii-bucuresti.md,animator-superman-dc-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-superman-petreceri-copii-bucuresti.md,animator-superman-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-winx-club-stella-petreceri-copii-bucuresti.md,animator-winx-club-stella-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animator-woody-toy-story-petreceri-copii-bucuresti.md,animator-woody-toy-story-petreceri-copii-bucuresti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-botez-bucuresti-ghid.md,animatori-petreceri-botez-bucuresti-ghid,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-1-decembrie.md,animatori-petreceri-copii-aladdin-1-decembrie,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-adunatii-copaceni.md,animatori-petreceri-copii-aladdin-adunatii-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-afumati.md,animatori-petreceri-copii-aladdin-afumati,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-balotesti.md,animatori-petreceri-copii-aladdin-balotesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-berceni.md,animatori-petreceri-copii-aladdin-berceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-bragadiru.md,animatori-petreceri-copii-aladdin-bragadiru,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-buftea.md,animatori-petreceri-copii-aladdin-buftea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-cernica.md,animatori-petreceri-copii-aladdin-cernica,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-chiajna.md,animatori-petreceri-copii-aladdin-chiajna,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-chitila.md,animatori-petreceri-copii-aladdin-chitila,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-ciocanesti.md,animatori-petreceri-copii-aladdin-ciocanesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-ciolpani.md,animatori-petreceri-copii-aladdin-ciolpani,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-ciorogarla.md,animatori-petreceri-copii-aladdin-ciorogarla,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-clinceni.md,animatori-petreceri-copii-aladdin-clinceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
