slug,title,status,has_phone,has_testimonial,testimonial_count,has_placeholders,placeholders,similarity_score,is_doorway,url
animator-aladin-petreceri-copii-bucuresti,Animator Prințul Aladdin Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.5633,False,https://superparty.ro/petreceri/animator-aladin-petreceri-copii-bucuresti
animator-aurora-frumoasa-adormita-petreceri-copii,Animator Aurora Frumoasa Adormită Petreceri Copii București – Adormita | Superparty.ro,ready,True,True,3,False,,0.5222,False,https://superparty.ro/petreceri/animator-aurora-frumoasa-adormita-petreceri-copii
animator-aurora-vs-elsa-care-e-mai-populara,Animator Aurora Frumoasa Adormită Petreceri Copii București – Populara | Superparty.ro,ready,True,True,3,False,,0.5446,False,https://superparty.ro/petreceri/animator-aurora-vs-elsa-care-e-mai-populara
animator-belle-disney-petreceri-copii-bucuresti,Animator Belle Disney Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.5137,False,https://superparty.ro/petreceri/animator-belle-disney-petreceri-copii-bucuresti
animator-bumblebee-transformers-petreceri-copii,Animator Transformers Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.5547,False,https://superparty.ro/petreceri/animator-bumblebee-transformers-petreceri-copii
animator-buzz-lightyear-toy-story-petreceri-copii,Animator Buzz Lightyear Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.5418,False,https://superparty.ro/petreceri/animator-buzz-lightyear-toy-story-petreceri-copii
animator-catboy-pj-masks-petreceri-copii-bucuresti,Animator PJ Masks Petreceri Copii București – Masks | Superparty.ro,ready,True,True,3,False,,0.5243,False,https://superparty.ro/petreceri/animator-catboy-pj-masks-petreceri-copii-bucuresti
animator-cenusareasa-disney-petreceri-copii-bucuresti,Animator Cenușăreasa Disney Petreceri Copii București – Disney | Superparty.ro,ready,True,True,3,False,,0.6795,False,https://superparty.ro/petreceri/animator-cenusareasa-disney-petreceri-copii-bucuresti
animator-cenusareasa-petreceri-copii-bucuresti,Animator Cenușăreasa Disney Petreceri Copii București – Cenusareasa | Superparty.ro,ready,True,True,3,False,,0.7146,False,https://superparty.ro/petreceri/animator-cenusareasa-petreceri-copii-bucuresti
animator-donald-duck-disney-petreceri-copii-bucuresti,Animator Donald Duck Disney Petreceri Copii București – Disney | Superparty.ro,ready,True,True,3,False,,0.8422,False,https://superparty.ro/petreceri/animator-donald-duck-disney-petreceri-copii-bucuresti
animator-donald-duck-petreceri-copii-bucuresti,Animator Donald Duck Disney Petreceri Copii București – Duck | Superparty.ro,ready,True,True,3,False,,0.8422,False,https://superparty.ro/petreceri/animator-donald-duck-petreceri-copii-bucuresti
animator-dragon-verde-mascota-petreceri-copii,Animator Dragon Mascotă Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.3984,False,https://superparty.ro/petreceri/animator-dragon-verde-mascota-petreceri-copii
animator-elsa-anna-frozen-impreuna-petreceri-copii,Animator Elsa & Anna Frozen Petreceri Copii București – Împreună | Superparty.ro,ready,True,True,3,False,,0.6635,False,https://superparty.ro/petreceri/animator-elsa-anna-frozen-impreuna-petreceri-copii
animator-elsa-frozen-petreceri-copii-bucuresti,Animator Elsa & Anna Frozen Petreceri Copii București – Frozen | Superparty.ro,ready,True,True,3,False,,0.6758,False,https://superparty.ro/petreceri/animator-elsa-frozen-petreceri-copii-bucuresti
animator-gekko-pj-masks-petreceri-copii-bucuresti,Animator PJ Masks Petreceri Copii București – Masks | Superparty.ro,ready,True,True,3,False,,0.5243,False,https://superparty.ro/petreceri/animator-gekko-pj-masks-petreceri-copii-bucuresti
animator-george-pig-petreceri-copii-bucuresti,Animator George Pig Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.6082,False,https://superparty.ro/petreceri/animator-george-pig-petreceri-copii-bucuresti
animator-hello-kitty-petreceri-copii-bucuresti,Animator Hello Kitty Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.4146,False,https://superparty.ro/petreceri/animator-hello-kitty-petreceri-copii-bucuresti
animator-hulk-avengers-petreceri-copii-bucuresti,Animator Avengers Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.6316,False,https://superparty.ro/petreceri/animator-hulk-avengers-petreceri-copii-bucuresti
animator-hulk-marvel-petreceri-copii-bucuresti,Animator Hulk Avengers Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.6316,False,https://superparty.ro/petreceri/animator-hulk-marvel-petreceri-copii-bucuresti
animator-jasmine-aladdin-petreceri-copii-bucuresti,Animator Jasmine Aladdin Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.3792,False,https://superparty.ro/petreceri/animator-jasmine-aladdin-petreceri-copii-bucuresti
animator-ladybug-petreceri-copii-bucuresti,Animator Ladybug Miraculous Petreceri Copii București – Ladybug | Superparty.ro,ready,True,True,3,False,,0.6004,False,https://superparty.ro/petreceri/animator-ladybug-petreceri-copii-bucuresti
animator-lightning-mcqueen-petreceri-copii-bucuresti,Animator Lightning McQueen Cars Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.4993,False,https://superparty.ro/petreceri/animator-lightning-mcqueen-petreceri-copii-bucuresti
animator-luigi-bros-petreceri-copii-bucuresti,Animator Luigi Bros Petreceri Copii București | Superparty.ro,ready,True,True,3,False,,0.6101,False,https://superparty.ro/petreceri/animator-luigi-bros-petreceri-copii-bucuresti
